676,86,85,
0,72,0,AB
681,82,55,AB
0,72,0,AB
0,55,0,AB
0,52,0,AB
0,73,0,AB
0,58,0,AB
0,52,0,AB
0,66,52,AB
0,84,52,AB
0,64,0,AB
0,51,0,AB
672,121,73,AB
0,76,55,AB
0,81,62,AB
0,76,0,AB
0,61,57,AB
0,57,0,AB
0,56,0,AB
0,79,56,AB
0,82,75,AB
0,0,54,AB
0,77,0,AB
0,0,67,AB
0,57,53,AB
0,71,60,AB
0,62,54,AB
0,72,54,AB
676,0,59,AB
686,95,57,AB
0,81,0,AB
0,99,52,AB
0,76,69,AB
0,96,85,AB
0,97,75,AB
0,94,77,AB
0,90,0,AB
706,99,61,AB
674,67,80,AB
0,88,73,AB
0,91,69,AB
0,54,57,AB
0,64,56,AB
0,69,0,AB
695,61,67,AB
0,100,62,AB
0,80,76,AB
0,66,67,AB
673,0,57,AB
0,61,57,AB
0,100,75,AB
0,86,56,AB
728,127,94,AB
678,115,77,AB
672,107,70,AB
711,63,100,AB
684,136,54,AB
0,107,54,AB
676,111,70,AB
0,61,63,AB
0,84,0,AB
0,54,65,AB
0,79,0,AB
0,0,63,AB
0,0,53,AB
688,87,0,AB
0,52,0,AB
0,56,56,AB
0,67,52,AB
0,53,0,AB
0,0,51,AB
0,66,52,AB
0,62,59,AB
0,72,54,AB
0,69,52,AB
0,69,0,AB
675,93,0,AB
699,113,65,AB
671,100,80,AB
682,79,0,AB
673,67,56,AB
672,80,52,AB
0,92,59,AB
681,87,63,AB
688,78,84,AB
676,97,72,AB
673,89,79,AB
678,82,77,AB
0,81,81,AB
678,64,78,AB
0,75,81,AB
0,84,0,AB
673,78,54,AB
688,163,0,AB
713,58,0,AB
715,133,77,AB
687,110,54,AB
0,68,66,AB
680,78,75,AB
0,56,64,AB
0,135,67,AB
0,58,62,AB
0,59,54,AB
0,83,68,AB
0,126,81,AB
691,58,66,AB
0,62,66,AB
671,107,74,AB
0,95,73,AB
0,0,61,AB
0,83,60,AB
0,81,51,AB
677,51,86,AB
705,97,60,AB
676,53,65,AB
672,0,86,AB
0,146,87,AB
0,61,85,AB
0,65,0,AB
0,51,62,AB
0,52,70,AB
0,61,60,AB
0,63,0,AB
0,64,57,AB
0,61,52,AB
0,63,0,AB
681,93,0,AB
0,68,55,AB
0,0,66,AB
0,57,52,AB
0,99,69,AB
0,65,76,AB
671,72,0,AB
0,52,0,AB
0,71,0,AB
0,69,0,AB
0,110,59,AB
677,123,71,AB
0,129,53,AB
0,70,0,AB
0,78,57,AB
0,61,0,AB
687,133,52,AB
0,74,0,AB
0,59,0,AB
0,128,0,AB
693,0,84,AB
0,0,59,AB
0,119,0,AB
727,180,54,AB
0,144,52,AB
686,0,53,AB
683,127,71,AB
693,161,0,AB
674,0,0,AB
0,90,0,AB
705,139,66,AB
706,174,68,AB
696,0,54,AB
0,134,0,AB
0,74,59,AB
0,54,0,AB
671,71,56,AB
0,94,0,AB
0,55,0,AB
0,53,0,AB
0,0,53,AB
0,83,0,AB
0,57,0,AB
0,82,0,AB
0,72,0,AB
682,115,53,AB
0,93,0,AB
692,134,56,AB
679,0,0,AB
678,0,65,AB
0,66,0,AB
0,77,0,AB
671,70,0,AB
691,122,0,AB
0,76,0,AB
676,0,0,AB
0,72,0,AB
0,76,0,AB
0,59,0,AB
0,70,0,AB
0,67,0,AB
0,60,0,AB
0,63,0,AB
0,73,0,AB
0,53,0,AB
0,103,0,AB
0,68,0,AB
0,54,0,AB
697,0,0,AB
0,0,53,AB
0,54,0,AB
0,53,0,AB
0,52,0,AB
